Lightening-Transformer Accelerator 
model,config,total_energy (mJ),total_latency (ms),edp (mJ*ms)
deit-t_197_4bit,dota_arch_opt_4t_2c,0.3848900074658216,0.0193532262040329,0.007448863378157956
deit-t_197_4bit,dota_arch_opt_8t_2c,0.3605309528896435,0.0097260262040329,0.0035065334951696237
deit-b_197_4bit,dota_arch_opt_4t_2c,5.444888189599379,0.2652789047755262,1.4444139755621206
deit-b_197_4bit,dota_arch_opt_8t_2c,5.096904239107238,0.1328269047755262,0.677006014017873
deit-b_197_8bit,dota_arch_opt_4t_2c,16.989722874468214,0.2656149047755262,4.512723623464454
deit-b_197_8bit,dota_arch_opt_8t_2c,15.905587401186786,0.1332009047755261,2.1186386328242888
deit-t_197_8bit,dota_arch_opt_4t_2c,1.206063159380378,0.0194372262040329,0.023442522445226988
deit-t_197_8bit,dota_arch_opt_8t_2c,1.129537935850879,0.0098140262040329,0.01108531490088976

MRR-based Accelerator 
Deit-T_4bit 0.38
Deit-T_8bit 0.78
Deit-B_4bit 76.56
Deit-B_8bit 3.47
